protein,sample,abundance,intervention,fiber_type
MYH13,s_78,0.1274193593896515,terbutaline,II
MYH13,s_35,0.10669662238629558,resistance,I
MYH13,s_27,0.16160205121600563,resistance,I
MYH13,s_59,0.096571501515156,terbutaline,I
MYH13,s_19,0.14835878525725377,resistance,I
MYH13,s_39,0.16545683146162204,resistance,I
MYH13,s_60,0.17876061948281174,terbutaline,II
MYH13,s_71,0.12267523253759284,terbutaline,I
MYH13,s_57,0.08453719175398763,terbutaline,I
MYH13,s_74,0.10833829877953186,terbutaline,II
MYH13,s_31,0.09402193133562979,resistance,I
MYH13,s_28,0.18123773073980415,resistance,II
MYH13,s_26,0.11970618092595174,resistance,II
MYH13,s_77,0.10778620892961466,terbutaline,I
MYH13,s_21,0.12975111150266516,resistance,I
MYH13,s_20,0.215333701677198,resistance,II
MYH13,s_56,0.17721760077024068,terbutaline,II
MYH13,s_23,0.11201724534321558,resistance,I
MYH13,s_55,0.13495509401455896,terbutaline,I
MYH13,s_22,0.08730966386179319,resistance,II
MYH13,s_82,0.15050247418193224,terbutaline,II
MYH13,s_49,0.12594173823230928,terbutaline,I
MYH13,s_83,0.1317525664343324,terbutaline,I
MYH13,s_68,0.24286279365901545,terbutaline,II
MYH13,s_17,0.15377049068281515,resistance,I
MYH13,s_51,0.13417470411166108,terbutaline,I
MYH13,s_48,0.39261102067598586,terbutaline,II
MYH13,s_47,0.1704398745922195,terbutaline,I
MYH13,s_65,0.0943448262703795,terbutaline,I
MYH13,s_84,0.20563069132678455,terbutaline,II
MYH13,s_87,0.156366894281697,terbutaline,I
MYH13,s_81,0.12924458874547134,terbutaline,I
MYH14,s_22,0.14755977958490374,resistance,II
MYH14,s_19,0.17905581110118665,resistance,I
MYH14,s_92,0.3852402598729685,terbutaline,II
MYH14,s_21,0.15398588843397648,resistance,I
MYH14,s_43,0.13200823596967856,terbutaline,I
MYH14,s_44,0.20077354212508108,terbutaline,II
MYH14,s_55,0.14127746125325308,terbutaline,I
MYH14,s_12,0.19703174305150925,resistance,II
MYH14,s_91,0.3792414897962481,terbutaline,I
MYH14,s_90,0.1523507941384274,terbutaline,II
MYH14,s_18,0.2272243008193509,resistance,II
MYH14,s_58,0.16952598994536064,terbutaline,II
MYH14,s_32,0.18725283312031746,resistance,II
MYH14,s_20,0.35590504571850645,resistance,II
MYH14,s_54,0.13825522408666102,terbutaline,II
MYH14,s_17,0.20368105759086225,resistance,I
MYH14,s_11,0.3020332589970356,resistance,I
MYH14,s_56,0.10624257963348646,terbutaline,II
MYH14,s_57,0.11185135888187207,terbutaline,I
MYH14,s_29,0.13809213215827065,resistance,I
MYH14,s_31,0.11879210074449678,resistance,I
MYH14,s_42,0.11798381451480625,terbutaline,II
MYH14,s_9,0.1751518070928456,resistance,I
MYH14,s_82,0.15253454124813673,terbutaline,II
MYH14,s_83,0.14055032184506136,terbutaline,I
MYH14,s_46,0.16168342756097207,terbutaline,II
MYH14,s_65,0.09992725594856336,terbutaline,I
MYH14,s_16,0.12298698451809027,resistance,II
MYH14,s_14,0.1901934688622636,resistance,II
MYH14,s_10,0.12397680849854537,resistance,II
MYH14,s_53,0.1284167173323568,terbutaline,I
MYH14,s_88,0.2026279953783198,terbutaline,II
MYH14,s_89,0.1412749781402099,terbutaline,I
MYH14,s_62,0.21979188277798786,terbutaline,II
MYH14,s_64,0.21939796468858816,terbutaline,II
MYH14,s_81,0.12960677782547605,terbutaline,I
MYH14,s_80,0.19942795471952288,terbutaline,II
MYH14,s_66,0.14383435538354558,terbutaline,II
MYH14,s_45,0.13506897443839255,terbutaline,I
MYH14,s_28,0.17275309073561995,resistance,II
MYH14,s_25,0.17640132316900373,resistance,I
MYH14,s_61,0.12907216942955765,terbutaline,I
MYH14,s_26,0.13488904530179233,resistance,II
MYH14,s_27,0.16975481932773437,resistance,I
MYH14,s_86,0.2392392611350109,terbutaline,II
MYH14,s_85,0.11626809396940029,terbutaline,I
MYH14,s_35,0.12123731339667586,resistance,I
MYH14,s_41,0.12519410684057145,terbutaline,I
MYH14,s_40,0.2328852807093346,resistance,II
MYH14,s_39,0.145822626567409,resistance,I
MYH14,s_79,0.11079326704308105,terbutaline,I
MYH14,s_78,0.1271631133789555,terbutaline,II
MYH14,s_67,0.11400684735189955,terbutaline,I
MYH14,s_47,0.1449168461443919,terbutaline,I
MYH14,s_48,0.24894606551574988,terbutaline,II
MYH14,s_49,0.11311276626359475,terbutaline,I
MYH14,s_51,0.14164993725608044,terbutaline,I
MYH14,s_34,0.21041135454242976,resistance,II
MYH14,s_75,0.13990354746051642,terbutaline,I
MYH14,s_74,0.15314863642893653,terbutaline,II
MYH14,s_30,0.14692301312858397,resistance,II
MYH14,s_63,0.1312253229890639,terbutaline,I
MYH14,s_38,0.16372642925780181,resistance,II
MYH14,s_77,0.10486485721393868,terbutaline,I
MYH14,s_84,0.18033362063063313,terbutaline,II
MYH14,s_87,0.13319192484270445,terbutaline,I
MYH14,s_70,0.16698913961836737,terbutaline,II
MYH14,s_23,0.11535918851568075,resistance,I
MYH14,s_71,0.10688919494676559,terbutaline,I
MYH14,s_24,0.16377887525062051,resistance,II
MYH14,s_33,0.13133519736133942,resistance,I
MYH14,s_73,0.13174483743585438,terbutaline,I
MYH14,s_68,0.2691618928510243,terbutaline,II
MYH14,s_37,0.1724639179738436,resistance,I
MYH14,s_76,0.4358695507709036,terbutaline,II
MYH14,s_60,0.16423142122854356,terbutaline,II
MYH14,s_36,0.16351045113542548,resistance,II
MYH14,s_59,0.11835439242138929,terbutaline,I
